kode_provinsi,nama_provinsi,kode_kabupaten_kotakode_kabupaten_kota,nama_kabupaten_kota,tahun,Nama_Sungai,Tahap,Lokasi_Sampling,Lintang_Selatan,Bujur_Timur,pH,Suhu_(0C),DHL_(µS/cm),Salinitas_(ppt),Do_(mg/L),TDS_(mg/L),TSS_(mg/L),BOD_(mg/L),COD_(mg/L),Nitrat_(mg/L),Nitrit_(mg/L),Fenol_(µg/L),Sulfida_(mg/L),Sianida_(mg/L),Phospat_(mg/L),MBAS_(µg/L),M&L_(µg/L),NH3N_(mg/L),Klorin_(mg/L),EColi_(MPN/100ml),Coliform_(MPN/100ml),Mercury_(mg/L),Nilai_IP,Status_MutuAir,Latitude,Longitude
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,I,Titik II - Jembatan Besi Desa Simpang Jaya Kec. Juli,"05o 06’ 38,8”","096o 39’ 07,3”",7.64,26.9,207.3,0.11,6.23,104.2,31.0,2.22,2.51,5.41,0.03,1.0,0.001,0.0166,0.24,44.01,425.2,0.29,0.01,828.0,1668.0,0.0,2.142,Cemar Ringan,-5.110777777777778,96.65202777777779
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,I,Titik III - Bendungan/ Intake PDAM Desa Beunyot Kec. Juli,"05o 06' 54,9”","096o 42’ 07,1” ",7.77,27.2,210.2,0.11,5.9,105.0,28.0,2.05,19.25,5.31,0.03,1.0,0.001,0.0192,0.24,18.27,440.4,0.15,0.04,955.0,1229.0,0.0,2.242,Cemar Ringan,-5.11525,96.70197222222222
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,I,Titik IV - Jembatan Besi Desa Kubu Kec. Peusangan,"05o 11’ 0,3”","0960 48’ 16,1”",7.32,28.5,191.5,0.1,5.73,96.38,27.0,2.28,16.68,5.11,0.03,1.0,0.001,0.0172,0.25,69.76,437.2,0.12,0.03,767.0,1852.0,0.0,2.188,Cemar Ringan,-5.183416666666667,960.8044722222222
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,I,Titik V - Desa Tingkeum Manyang Kec. Kutablang,"05o 12’ 58,3”","096o 49’ 42,1”",7.26,27.9,197.7,0.1,5.91,99.13,27.0,2.46,24.38,5.31,0.03,1.0,0.001,0.021,0.3,95.51,446.8,0.17,0.01,811.0,2812.0,0.0,2.322,Cemar Ringan,-5.216194444444445,96.82836111111111
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,II,Titik I - Desa Suka Tani Kec. Juli,"04o 59’ 07,3”","096o 41’ 47,2”",6.98,25.7,31.6,0.01,5.47,29.1,22.0,2.06,12.19,2.07,0.03,1.0,0.01,0.0134,0.2,35.43,409.2,0.14,0.01,784.0,1616.0,0.0,2.305,Cemar Ringan,-4.985361111111112,96.69644444444445
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,II,Titik II - Jembatan Besi Desa Simpang Jaya Kec. Juli,"05o 06’ 38,8”","096o 39’ 07,3”",6.37,26.4,126.9,0.06,5.93,106.3,44.0,2.68,19.25,2.28,0.03,1.0,0.01,0.0122,0.19,44.01,410.4,0.19,0.01,909.0,1782.0,0.0,2.142,Cemar Ringan,-5.110777777777778,96.65202777777779
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,II,Titik III - Bendungan/ Intake PDAM Desa Beunyot Kec. Juli,"05o 06' 54,9”","096o 42’ 07,1” ",6.21,26.0,134.0,0.08,6.51,92.4,42.0,2.95,42.35,2.64,0.03,1.0,0.01,0.0186,0.19,26.85,411.2,0.09,0.02,1010.0,2012.0,0.0,2.242,Cemar Ringan,-5.11525,96.70197222222222
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,II,Titik IV - Jembatan Besi Desa Kubu Kec. Peusangan,"05o 11’ 0,3”","0960 48’ 16,1”",7.11,27.1,135.1,0.09,6.78,90.6,23.0,3.99,37.21,4.04,0.03,1.0,0.01,0.0201,0.18,18.27,408.4,0.1,0.01,933.0,1968.0,0.0,2.188,Cemar Ringan,-5.183416666666667,960.8044722222222
11,Aceh,11.11,Kabupaten Bireun,2020,Krueng Peusangan,II,Titik V - Desa Tingkeum Manyang Kec. Kutablang,"05o 12’ 58,3”","096o 49’ 42,1”",7.35,27.4,137.5,0.1,7.12,98.2,37.0,3.82,19.25,4.16,0.03,1.0,0.01,0.0172,0.22,35.43,420.8,0.17,0.02,1017.0,2178.0,0.0,2.322,Cemar Ringan,-5.216194444444445,96.82836111111111
11,Aceh,11.17,Kabupaten Bener Meriah,2020,Krueng Keureuto,II,Titik I - Gampong Teungoh Seuleumak Kec. Matang Kuli,"05o 01’33,06”","097o 14’26,03”",7.64,28.2,251.2,0.23,5.06,126.8,33.0,2.17,40.42,3.63,0.03,1.0,0.01,0.0154,0.3112,25.0,407.2,0.092,0.01,290.0,2489.0,0.0,2.224,Cemar Ringan,-5.02585,97.24056388888889
11,Aceh,11.17,Kabupaten Bener Meriah,2020,Krueng Keureuto,II,Titik III - Jembatan Besi Gp. Keude Lhoksukon Kec. Lhoksukon,"05o 02’29,10”","097o 19’09,59” ",7.41,27.3,248.2,0.23,4.41,125.2,46.0,2.06,61.59,5.36,0.03,1.0,0.01,0.0192,0.2024,52.6,406.8,0.085,0.02,471.0,2254.0,0.0,2.397,Cemar Ringan,-5.041416666666667,97.31933055555555
11,Aceh,11.17,Kabupaten Bener Meriah,2020,Krueng Keureuto,II,Titik IV - Desa Meunasah Asan Kec. Lhoksukon,"05o 03’01,03”","0970 19’02,05”",7.48,27.5,246.5,0.23,5.42,124.4,54.0,2.02,38.49,5.32,0.03,1.0,0.01,0.0166,0.209,26.85,415.6,0.099,0.02,275.0,2595.0,0.0,2.042,Cemar Ringan,-5.050286111111111,970.3172361111111
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Jambo Ayee,I,"Titik I - Gp. Tanjung Jawa Kec. Langkahan, Aceh Utara","04o 00’ 35,37”","097o 30’ 16,78”",7.62,27.3,152.8,0.08,5.35,78.6,22.0,2.34,30.22,5.18,0.03,1.0,0.001,0.0157,0.16,172.75,415.6,0.22,0.01,181.0,1423.0,0.0,2.158,Cemar Ringan,-4.009825,97.5046611111111
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Jambo Ayee,I,"Titik II - Gp. Matang Rubek Kec. Langkahan, Aceh Utara","05o 02’ 08,41”","097o 30’ 43,35”",7.29,26.9,162.9,0.12,5.09,82.0,26.0,2.06,98.17,5.5,0.03,1.0,0.001,0.0137,0.12,112.67,422.4,0.15,0.01,414.0,2064.0,0.0,3.046,Cemar Ringan,-5.035669444444444,97.51204166666666
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Jambo Ayee,I,"Titik IV - Jembatan Arakundo Desa Blang Gleum Kec. Julok, Aceh Timur","05o 04’ 05,19”","0970 34’19,81”",6.9,29.0,160.6,0.14,5.68,80.8,23.0,2.2,29.51,5.53,0.03,1.0,0.001,0.0201,0.19,164.17,430.4,0.27,0.04,616.0,2400.0,0.0,2.241,Cemar Ringan,-5.068108333333333,970.5721694444445
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Jambo Ayee,I,Titik V - Depan Kantor Geuchik Desa Teupin Breuh Kec. Simpang Ulim Kab. Aceh Timur,"05o 04’ 53,03”","097o 35’ 39,09”",6.98,29.5,161.4,0.22,4.53,81.3,27.0,2.8,12.83,5.56,0.03,1.0,0.001,0.0192,0.16,198.5,429.6,0.3,0.02,836.0,1459.0,0.0,2.031,Cemar Ringan,-5.081397222222222,97.59419166666666
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Jambo Ayee,II,"Titik I - Gp. Tanjung Jawa Kec. Langkahan, Aceh Utara","04o 00’ 35,37”","097o 30’ 16,78”",7.08,26.3,85.2,0.08,5.12,42.87,24.0,2.25,46.84,3.48,0.03,1.0,0.01,0.0108,0.17,25.0,403.6,0.15,0.05,179.0,1012.0,0.0,2.158,Cemar Ringan,-4.009825,97.5046611111111
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Jambo Ayee,II,"Titik II - Gp. Matang Rubek Kec. Langkahan, Aceh Utara","05o 02’ 08,41”","097o 30’ 43,35”",7.24,25.2,115.7,0.1,4.97,58.34,26.0,2.0,61.59,3.46,0.03,1.0,0.01,0.0143,0.17,25.0,405.6,0.14,0.03,303.0,1274.0,0.0,3.046,Cemar Ringan,-5.035669444444444,97.51204166666666
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Jambo Ayee,II,"Titik III - Jembatan Teupin Batei Desa Meunasah Tunong Kec. Pante Bidari, Aceh Timur","05o 03’ 24,05”","097o 31’ 07,08” ",7.25,25.7,119.8,0.11,5.14,60.23,37.0,2.05,24.38,4.16,0.03,1.0,0.01,0.0201,0.16,35.43,408.0,0.13,0.02,259.0,2282.0,0.0,2.311,Cemar Ringan,-5.056680555555555,97.51863333333333
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Jambo Ayee,II,"Titik IV - Jembatan Arakundo Desa Blang Gleum Kec. Julok, Aceh Timur","05o 04’ 05,19”","0970 34’19,81”",8.66,24.0,119.5,0.11,4.07,60.06,29.0,2.35,21.82,3.96,0.03,1.0,0.01,0.0186,0.16,25.0,410.4,0.16,0.01,221.0,1396.0,0.0,2.241,Cemar Ringan,-5.068108333333333,970.5721694444445
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Jambo Ayee,II,Titik V - Depan Kantor Geuchik Desa Teupin Breuh Kec. Simpang Ulim Kab. Aceh Timur,"05o 04’ 53,03”","097o 35’ 39,09”",7.83,25.4,119.3,0.11,4.83,60.05,56.0,2.4,15.39,3.66,0.03,1.0,0.01,0.0163,0.12,25.0,411.2,0.17,0.02,272.0,985.0,0.0,2.031,Cemar Ringan,-5.081397222222222,97.59419166666666
11,Aceh,11.03,Kabupaten Aceh Timur,2020,Krueng Peureulak,I,Titik I - Jembatan Besi Tua Asamera Desa Kliet Kec. Ranto Peureulak,"04o 45’29,68”","097o 48’00,34”",8.01,28.0,290.6,0.03,6.11,146.0,22.0,2.16,34.65,3.08,0.03,1.0,0.001,0.014,0.18,112.67,430.4,0.112,0.01,95.0,1483.0,0.0,2.247,Cemar Ringan,-4.758244444444444,97.80009444444444
11,Aceh,11.03,Kabupaten Aceh Timur,2020,Krueng Peureulak,I,Titik II - Dekat Perumahan Masyarakat Desa Teumpeun Kec. Peureulak Barat,"04o 49’24,3”","097o 51’01,0”",7.51,28.2,291.7,0.04,5.78,146.2,24.0,2.13,38.49,3.14,0.03,1.0,0.001,0.0105,0.14,86.93,421.2,0.034,0.01,482.0,2254.0,0.0,2.327,Cemar Ringan,-4.823416666666667,97.85027777777778
11,Aceh,11.03,Kabupaten Aceh Timur,2020,Krueng Peureulak,I,Titik III - Jembatan Besi Pasar Peureulak Desa Tanjong Tualang Kec. Peureulak Barat,"04o 48’40,9”","097o 53’27,3” ",7.39,27.8,290.3,0.04,6.5,145.5,21.0,3.66,92.39,3.28,0.03,1.0,0.001,0.0216,0.19,129.84,444.4,0.013,0.03,614.0,1904.0,0.0,3.002,Cemar Ringan,-4.811361111111111,97.89091666666667
11,Aceh,11.03,Kabupaten Aceh Timur,2020,Krueng Peureulak,I,Titik IV - Jembatan Rangka Baja Desa Beusa Merano Kec. Peureulak,"04o 50’04,36”","0970 53’19,86”",7.36,28.1,286.1,0.05,6.01,143.7,20.0,2.09,53.89,3.29,0.03,1.0,0.001,0.0207,0.31,155.59,417.2,0.136,0.03,400.0,2012.0,0.0,2.608,Cemar Ringan,-4.834544444444444,970.88885
11,Aceh,11.03,Kabupaten Aceh Timur,2020,Krueng Peureulak,I,Titik V - Dekat Pompa Air Desa Matang Aron Kec. Peureulak,"05o 51’02,6”","097o 53’57,2”",7.17,28.2,293.5,0.02,6.23,146.5,26.0,2.77,3.85,4.11,0.03,1.0,0.001,0.0143,0.19,138.42,434.0,0.063,0.02,1203.0,159.0,0.0,2.172,Cemar Ringan,-5.850722222222222,97.89922222222224
11,Aceh,11.03,Kabupaten Aceh Timur,2020,Krueng Peureulak,II,Titik I - Jembatan Besi Tua Asamera Desa Kliet Kec. Ranto Peureulak,"04o 45’29,68”","097o 48’00,34”",7.77,26.5,189.2,0.17,4.15,95.0,26.0,2.05,18.61,3.85,0.03,1.0,0.01,0.0137,0.17,25.0,407.2,0.11,0.02,419.0,1430.0,0.0,2.247,Cemar Ringan,-4.758244444444444,97.80009444444444
11,Aceh,11.03,Kabupaten Aceh Timur,2020,Krueng Peureulak,II,Titik II - Dekat Perumahan Masyarakat Desa Teumpeun Kec. Peureulak Barat,"04o 49’24,3”","097o 51’01,0”",7.52,27.4,187.1,0.17,6.12,96.3,30.0,2.56,23.09,3.56,0.03,1.0,0.01,0.0178,0.16,25.0,409.6,0.09,0.03,869.0,2310.0,0.0,2.327,Cemar Ringan,-4.823416666666667,97.85027777777778
11,Aceh,11.03,Kabupaten Aceh Timur,2020,Krueng Peureulak,II,Titik III - Jembatan Besi Pasar Peureulak Desa Tanjong Tualang Kec. Peureulak Barat,"04o 48’40,9”","097o 53’27,3” ",7.5,27.7,182.1,0.16,4.46,91.1,31.0,2.37,14.11,4.37,0.03,1.0,0.01,0.0181,0.17,35.43,410.4,0.12,0.01,697.0,1169.0,0.0,3.002,Cemar Ringan,-4.811361111111111,97.89091666666667
11,Aceh,11.03,Kabupaten Aceh Timur,2020,Krueng Peureulak,II,Titik IV - Jembatan Rangka Baja Desa Beusa Merano Kec. Peureulak,"04o 50’04,36”","0970 53’19,86”",7.36,27.2,182.1,0.16,4.38,91.1,51.0,2.44,21.82,3.78,0.03,2.0,0.01,0.0198,0.18,25.0,408.8,0.13,0.04,780.0,2247.0,0.0,2.608,Cemar Ringan,-4.834544444444444,970.88885
11,Aceh,11.05,Kabupaten Aceh Barat,2020,Krueng Woyla,I,Titik I - Belakang Pasantren Arraudhatul Awwaliah Desa Drin Mangko Kec. Woyla,"04o 24’ 30,3”","096o 03’ 22,1”",7.1,29.4,148.4,0.02,5.78,74.82,23.0,2.2,22.5,1.84,0.03,0.1,0.02,0.019,0.04,95.51,438.8,0.09,0.02,648.0,2427.0,0.0,3.767,Cemar Ringan,-4.408416666666667,96.05613888888888
11,Aceh,11.05,Kabupaten Aceh Barat,2020,Krueng Woyla,I,Titik II - Jembatan Kuala Bhee Desa Kuala Bhee Kec. Woyla,"04o 23’ 19,8”","096o 02’ 43,0”",6.8,29.3,142.7,0.03,5.86,72.08,25.0,2.31,12.5,2.54,0.03,0.1,0.02,0.02,0.16,129.84,448.4,0.08,0.02,231.0,2419.0,0.0,3.759,Cemar Ringan,-4.388833333333333,96.04527777777777
11,Aceh,11.05,Kabupaten Aceh Barat,2020,Krueng Woyla,I,Titik IV - Jembatan Gantung Desa Lhok Male Kec. Woyla Barat,"04o 19’ 48,0”","0960 59’ 45,4”",6.17,28.9,140.7,0.04,5.4,70.79,24.0,3.27,5.0,1.95,0.03,0.1,0.02,0.02,0.15,86.93,424.0,0.12,0.04,285.0,2428.0,0.0,3.758,Cemar Ringan,-4.33,960.9959444444445
11,Aceh,11.05,Kabupaten Aceh Barat,2020,Krueng Meureubo,I,Titik I - Jembatan Gantung Desa Ketambang Kec. Pante Ceureumen,"04o 26’ 32,7”","096o 18’ 25,3”",6.95,26.8,170.4,0.157,6.69,159.1,23.0,2.38,3.2234,3.97,0.03,1.0,0.001,0.0192,0.32,9.68,423.6,0.116,0.03,168.0,1780.0,0.0,2.73,Cemar Ringan,-4.442416666666667,96.30702777777778
11,Aceh,11.05,Kabupaten Aceh Barat,2020,Krueng Meureubo,I,Titik II - Jembatan Rangka Baja Desa Sawang Teubee Kec. Kaway XVI,"04o 18’ 58,9”","096o 12’ 09,3”",6.96,28.6,101.8,0.093,5.38,94.8,25.0,2.08,7.69,3.85,0.03,1.0,0.001,0.0166,0.2,86.93,443.6,0.096,0.01,284.0,1904.0,0.0,2.239,Cemar Ringan,-4.316361111111111,96.20258333333334
11,Aceh,11.05,Kabupaten Aceh Barat,2020,Krueng Meureubo,I,Titik III - Intake PDAM Desa Gunong Beurghang Kec. Kaway XVI,"04o 14' 14,2”","096o 10’ 44,5” ",7.0,27.4,74.73,0.069,4.78,69.15,38.0,2.01,24.38,3.99,0.03,1.0,0.001,0.0163,0.23,78.34,422.4,0.125,0.04,563.0,2035.0,0.0,2.462,Cemar Ringan,-4.237277777777778,96.17902777777778
11,Aceh,11.05,Kabupaten Aceh Barat,2020,Krueng Meureubo,I,Titik IV - Dekat Tanggul Desa Pasie Aceh Tunong Kec. Meureubo,"04o 11’ 21,8”","0960 09’ 53,4”",6.89,27.4,65.56,0.065,5.2,60.83,28.0,2.3,3.2234,4.13,0.03,1.0,0.001,0.023,0.23,112.67,442.8,0.117,0.02,620.0,2400.0,0.0,2.341,Cemar Ringan,-4.189388888888889,960.1648333333333
11,Aceh,11.05,Kabupaten Aceh Barat,2020,Krueng Meureubo,I,Titik V - Jembatan Besi Desa Pasie Pinang Kec. Meureubo,"04o 09’ 15,4”","096o 08’ 29,4”",6.94,26.6,71.07,0.067,4.82,66.04,53.0,2.45,20.53,3.97,0.03,1.0,0.001,0.0251,0.27,121.26,462.8,0.115,0.02,437.0,2700.0,0.0,2.389,Cemar Ringan,-4.154277777777778,96.14150000000001
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,I,Titik I - Desa Gunung Cut Kec. Darul Makmur,"04o 00’ 24,8”","096o 31’ 30,7”",8.12,25.1,155.1,0.07,6.26,78.06,25.0,2.94,21.25,2.97,0.03,0.1,0.02,0.015,0.19,61.18,430.8,0.03,0.01,162.0,2400.0,0.0,2.75,Cemar Ringan,-4.006888888888889,96.52519444444444
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,I,Titik II - Jembatan Besi Desa Lamie Kec. Darul Makmur,"03o 59’ 30,7”","096o 29’ 20,4”",7.49,25.4,153.6,0.07,5.5,77.28,26.0,2.48,15.0,3.09,0.03,0.1,0.02,0.011,0.21,69.76,437.2,0.05,0.01,436.0,2411.0,0.0,2.552,Cemar Ringan,-3.991861111111111,96.489
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,I,Titik III - Desa Mon Dua Kec. Tripa,"03o 58' 10,1”","096o 27’ 19,3” ",7.48,25.9,154.0,0.08,5.06,77.39,41.0,2.4,25.0,3.3,0.03,0.1,0.02,0.011,0.1,86.93,446.4,0.07,0.04,156.0,2402.0,0.0,2.971,Cemar Ringan,-3.9694722222222225,96.45536111111112
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,I,Titik IV - Desa Neubok Yee Kec. Tripa,"03o 57’ 03,1”","096o 25’ 50,7”",7.19,27.3,180.6,0.08,5.99,91.09,51.0,2.79,26.25,3.31,0.03,0.1,0.02,0.013,0.2,91.22,441.6,0.11,0.02,138.0,2427.0,0.0,2.615,Cemar Ringan,-3.950861111111111,96.43075
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,I,Titik V - Desa Drien Tujuh Kec. Tripa,"03o 54’ 19,0”","096o 24’ 31,4”",7.13,27.9,155.5,0.09,5.56,78.28,43.0,2.83,12.5,2.93,0.03,0.1,0.02,0.018,0.2,95.51,457.6,0.11,0.03,142.0,2436.0,0.0,2.678,Cemar Ringan,-3.9052777777777776,96.40872222222222
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,II,Titik I - Desa Gunung Cut Kec. Darul Makmur,"04o 00’ 24,8”","096o 31’ 30,7”",7.61,26.1,141.6,0.07,5.1,71.41,26.0,2.75,20.53,2.17,0.03,1.0,0.001,0.0157,0.116,112.67,429.6,0.115,0.04,193.0,2224.0,0.0,2.75,Cemar Ringan,-4.006888888888889,96.52519444444444
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,II,Titik II - Jembatan Besi Desa Lamie Kec. Darul Makmur,"03o 59’ 30,7”","096o 29’ 20,4”",7.26,26.1,127.5,0.07,5.93,64.54,29.0,2.9,17.96,2.25,0.03,1.0,0.001,0.0166,0.201,198.5,435.6,0.059,0.02,405.0,2402.0,0.0,2.552,Cemar Ringan,-3.991861111111111,96.489
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,II,Titik III - Desa Mon Dua Kec. Tripa,"03o 58' 10,1”","096o 27’ 19,3” ",7.14,26.2,128.9,0.07,4.49,65.28,42.0,2.48,43.63,2.13,0.03,1.0,0.001,0.0172,0.164,129.84,433.2,0.24,0.05,609.0,2318.0,0.0,2.971,Cemar Ringan,-3.9694722222222225,96.45536111111112
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,II,Titik IV - Desa Neubok Yee Kec. Tripa,"03o 57’ 03,1”","096o 25’ 50,7”",7.15,26.3,136.0,0.07,4.7,68.99,53.0,2.63,23.09,2.12,0.03,1.0,0.001,0.0216,0.154,147.0,469.6,0.181,0.02,395.0,2894.0,0.0,2.615,Cemar Ringan,-3.950861111111111,96.43075
11,Aceh,11.71,Kota Banda Aceh,2020,Krueng Tripa,II,Titik V - Desa Drien Tujuh Kec. Tripa,"03o 54’ 19,0”","096o 24’ 31,4”",7.12,26.0,129.8,0.07,4.93,66.38,44.0,2.4,10.27,2.13,0.03,1.0,0.001,0.0201,0.237,207.08,450.8,0.093,0.02,616.0,2513.0,0.0,2.678,Cemar Ringan,-3.9052777777777776,96.40872222222222
11,Aceh,11.01,Kabupaten Aceh Selatan,2020,Krueng Baru,I,Titik I - Jln. Alur Balok Desa Panton Pawoh Kec. Labuhan Haji,"03o 37’ 2,01”","096o 58’ 54,03”",7.28,23.1,102.6,0.01,5.59,7.74,18.0,2.03,18.75,5.47,0.03,0.1,0.02,0.016,0.08,35.43,429.6,0.21,0.03,1880.0,2402.0,0.0,2.846,Cemar Ringan,-3.617225,96.981675
11,Aceh,11.01,Kabupaten Aceh Selatan,2020,Krueng Baru,I,Titik II - Jln. Alur Balok Desa Panton Pawoh Kec. Labuhan Haji,"03o 37’ 7,08”","096o 58’ 26,07”",7.26,24.1,104.0,0.01,5.29,76.2,16.0,2.11,13.75,6.81,0.03,0.1,0.02,0.014,0.24,26.85,433.2,0.18,0.02,578.0,2411.0,0.0,2.663,Cemar Ringan,-3.6186333333333334,96.97390833333334
11,Aceh,11.01,Kabupaten Aceh Selatan,2020,Krueng Baru,I,Titik III - Jln. Guru Ceh Breh Desa Alu Trienggadeng Kec. Lembah Sabil,"03o 36’ 50,7”","096o 57’ 49,0” ",7.68,27.6,106.7,0.03,6.24,78.3,29.0,2.24,8.75,5.16,0.03,0.1,0.02,0.011,0.08,44.01,422.4,0.11,0.05,384.0,2427.0,0.0,2.636,Cemar Ringan,-3.6140833333333333,96.96361111111112
